age,workclass,fnlwgt
31,Private,122612
17,Private,132187
25,?,52151
31,Private,212705
38,Private,436361
38,Private,184456
69,Local-gov,142297
60,Federal-gov,54701
34,Private,245211
50,Private,98975
31,Private,463601
26,Private,297991
36,Private,196554
23,Private,113511
17,Private,152710
30,Private,147171
54,Private,52724
35,Private,177482
58,Private,219537
33,Private,350106
30,Private,197947
21,Private,253583
26,Private,58751
29,Private,206889
45,Private,151399
40,Local-gov,50563
31,Private,63861
47,Private,165517
59,?,43103
21,?,123983
45,Self-emp-not-inc,32172
30,Private,192644
52,Self-emp-inc,230919
68,Private,115772
66,Self-emp-not-inc,51687
26,Private,191803
43,Private,170721
20,?,132053
36,Private,170842
22,?,51973
21,?,72621
20,State-gov,205895
53,Self-emp-inc,99185
30,Private,149726
38,Private,372525
21,Private,165107
47,Local-gov,273767
61,Private,227266
49,Federal-gov,89334
44,Private,199202
23,Private,326587
49,Self-emp-not-inc,144351
56,Federal-gov,119254
62,Private,193881
77,Private,271000
17,?,74685
34,Private,123291
33,Local-gov,557359
25,Private,197403
33,Private,184245
21,Private,92898
51,Private,105788
22,?,205940
45,Private,212120
35,Private,351772
33,Private,309582
28,Private,244650
58,Self-emp-not-inc,290670
64,Self-emp-not-inc,167877
37,Private,454024
28,Private,125531
22,Private,220603
59,Private,180645
35,Private,98725
46,Private,431515
31,Private,122612
23,Federal-gov,190290
76,Private,174839
46,Federal-gov,83610
50,Private,273534
26,Private,383885
19,Private,188618
35,Private,95653
61,Private,204908
41,Private,221172
31,Private,97723
32,Private,200401
41,State-gov,205153
38,Private,170174
58,Federal-gov,26947
17,?,154938
62,Private,125832
25,Self-emp-not-inc,150361
34,Local-gov,113183
23,Private,39551
18,?,62854
61,?,31285
36,Private,199217
47,Local-gov,40690
46,Private,315671
23,Private,180339
28,Private,119545
23,Private,195508
31,Private,364657
49,Federal-gov,168598
33,Private,178683
27,Private,123116
33,Private,251117
35,Local-gov,42893
19,Private,386492
31,Private,249869
55,Private,116219
33,Private,168981
67,?,137894
19,State-gov,139091
25,Private,219199
38,Private,191455
39,Private,325374
77,?,180425
43,Private,149871
30,Private,342730
41,Private,252392
60,Private,193864
38,Self-emp-inc,139364
20,Private,253612
34,Private,287168
17,Private,364952
45,Private,82797
31,Private,100135
54,Local-gov,287831
41,Self-emp-not-inc,140108
19,Private,180917
51,Private,29036
42,Self-emp-not-inc,221581
63,Local-gov,382882
35,Private,237091
19,Private,134252
29,Private,269354
58,Private,226922
37,Self-emp-not-inc,191841
28,Private,37805
52,Private,590522
51,Private,202752
34,?,304872
28,Private,228075
43,Private,163831
32,Private,32326
40,Private,179809
35,Private,76878
44,Federal-gov,210492
56,Private,105582
44,Private,160369
27,Private,364986
56,?,169278
52,Local-gov,76081
27,State-gov,234135
35,Self-emp-inc,187693
32,Private,188362
34,Private,235271
34,Private,51854
31,Private,103772
55,Federal-gov,300670
45,Private,175990
43,Private,173590
38,State-gov,156866
56,Private,71388
40,Private,228659
55,Self-emp-not-inc,110844
52,Private,149908
28,Private,93021
19,Local-gov,273187
19,Private,62419
24,Private,218957
48,Private,182715
29,Private,157103
54,Private,133963
26,Private,151724
58,Private,196502
37,Self-emp-inc,199816
41,Private,413365
65,Private,195568
43,Private,186245
33,Private,279231
55,Federal-gov,171870
32,Private,127651
56,Self-emp-not-inc,289605
29,Private,130856
34,State-gov,49539
39,Self-emp-not-inc,263081
56,Local-gov,205759
33,Private,358655
51,Private,186299
47,Private,289517
22,Private,105686
58,Local-gov,81132
25,Private,68302
34,Private,443546
34,Self-emp-not-inc,195891
35,Private,99462
36,Private,224541
70,?,262502
41,Private,118921
46,Private,155489
38,Self-emp-not-inc,248919
47,Private,139268
43,Self-emp-not-inc,245056
39,Private,433592
29,Private,336624
47,Private,177858
37,Private,207066
19,Private,56750
67,Private,110331
40,Private,84801
53,Local-gov,175897
31,Private,369027
56,Private,170411
47,Private,171751
37,Private,61518
31,Private,214235
42,?,56483
44,Private,154993
33,Private,160594
22,Private,258298
52,Private,192666
33,Private,156602
31,Private,122116
75,Local-gov,73433
50,Private,99185
36,Private,203828
58,Local-gov,101480
20,Self-emp-inc,134815
36,State-gov,235195
26,Private,93169
58,Local-gov,36091
57,Private,124318
46,Self-emp-inc,188861
29,Private,194402
42,Self-emp-not-inc,54651
34,Private,169496
57,Private,34366
35,State-gov,213076
36,Local-gov,161132
46,Private,479406
39,Private,115618
25,Self-emp-inc,158033
43,Private,108682
26,Private,430195
46,Local-gov,138107
27,Private,215014
35,Private,183279
68,Self-emp-not-inc,119056
52,Private,158583
26,Private,242464
27,Private,35204
52,Private,233149
54,Private,182855
29,Private,189346
39,Private,82726
38,Private,179481
19,Private,167428
22,Private,182117
58,Private,162970
39,Private,421633
20,State-gov,231931
26,Private,132749
22,Private,254351
31,State-gov,152109
42,Private,100479
53,Local-gov,222405
32,Private,117028
33,Private,91163
36,Private,150104
39,Private,114605
33,Private,348152
33,Private,174463
47,Private,180243
31,Private,238816
18,Private,275848
51,Private,114520
34,State-gov,275880
39,Private,188148
42,Private,112494
17,?,159771
27,Private,278736
20,?,354351
33,Private,252257
62,?,128230
27,Private,321456
45,Self-emp-inc,200825
19,Private,86143
40,State-gov,353687
43,Local-gov,212847
60,Private,154589
42,Private,183765
28,Private,186672
50,Private,249096
27,Private,190784
25,Private,144516
53,Private,124993
24,Private,111376
40,Private,300838
28,Private,359049
36,?,100669
46,Self-emp-not-inc,366089
19,Private,110998
23,Private,60409
55,Private,129263
48,Private,219967
45,Private,171540
55,Local-gov,61708
36,Private,294760
35,Private,209280
31,Private,208881
17,Private,191535
31,Private,143851
51,Private,161599
20,Self-emp-not-inc,428299
32,Self-emp-not-inc,199366
34,Local-gov,484911
37,Private,390243
55,Self-emp-not-inc,204502
32,Self-emp-not-inc,114419
49,Private,79436
54,Private,141272
62,Local-gov,123749
18,Private,101173
49,Private,39518
26,Private,250038
59,Self-emp-inc,165695
48,Local-gov,225594
21,State-gov,51979
31,Private,177675
37,Private,199739
38,Private,27408
28,Private,110169
39,Self-emp-not-inc,179488
30,Private,118551
71,Self-emp-not-inc,157845
37,Self-emp-not-inc,68899
53,Private,58535
39,Private,191503
34,Private,113364
34,Self-emp-not-inc,204742
21,Private,163870
53,Private,208122
46,Local-gov,174361
23,Private,265077
50,Private,241648
30,Private,94145
32,Private,178449
23,Private,236804
53,Self-emp-not-inc,187830
41,Private,66208
42,Private,219155
38,Private,99146
45,Private,142889
56,Private,136164
36,Private,154410
65,Private,113293
41,Private,195096
42,Private,172641
43,Private,265072
22,Private,305874
51,Private,312446
21,Private,391312
32,Private,234976
19,Private,199495
53,Private,98561
43,Private,176452
17,Private,188996
46,State-gov,171926
45,Local-gov,310260
52,Private,72257
37,Self-emp-not-inc,86643
18,Private,115815
53,Private,227475
45,Local-gov,324550
37,Private,138105
19,Private,146189
25,Private,478836
57,Private,513440
19,Private,151806
45,Private,363253
54,Self-emp-inc,263925
29,Private,57617
32,Private,208761
49,Private,169092
34,Private,173854
46,Local-gov,116906
43,Private,163769
32,Federal-gov,72630
58,?,141409
67,Private,24968
24,Private,118514
19,?,116834
42,Self-emp-not-inc,99185
32,Private,121769
59,Private,160271
34,Private,123429
24,Private,744929
21,Private,143604
36,Private,284582
38,?,229363
53,Private,161482
24,Self-emp-not-inc,107452
38,State-gov,534775
51,Private,183200
42,Private,169980
22,Private,299047
53,Private,92475
51,Private,114758
65,Self-emp-not-inc,55894
40,Private,98466
39,Private,170174
54,Private,335177
24,Private,511231
32,Local-gov,257849
40,Local-gov,208751
36,Private,383566
47,?,214605
40,State-gov,243664
41,Private,176716
38,Private,366618
36,Self-emp-inc,83748
64,Private,278585
47,Private,106942
22,Private,372898
48,Private,183610
45,Private,106061
58,State-gov,138130
48,Private,43479
49,Private,118520
34,Federal-gov,207284
43,State-gov,598995
50,State-gov,141608
31,Private,230912
31,Private,309170
57,Private,27459
33,Self-emp-not-inc,266674
52,Private,93127
43,Self-emp-inc,27444
30,Private,131415
54,Private,105428
36,Private,139364
43,Private,236936
35,Private,109204
56,Private,456592
34,Self-emp-not-inc,173201
19,?,183408
51,Private,111721
39,Private,268258
59,Private,128258
46,Self-emp-not-inc,525848
39,Private,124090
67,Private,249043
38,Private,119098
70,?,30772
22,Local-gov,49414
30,Private,197886
39,Without-pay,334291
21,?,171156
78,?,109498
43,Self-emp-not-inc,83411
47,Local-gov,209968
20,Private,223921
52,Local-gov,133403
50,Private,75763
34,Private,200401
45,Private,55272
51,Local-gov,194970
38,Self-emp-not-inc,143385
30,Private,180317
19,Private,255176
37,Local-gov,175120
38,Self-emp-inc,66687
27,Federal-gov,115705
17,?,197732
32,Private,111883
23,Private,210474
26,Private,123472
24,Private,257621
35,Private,341943
57,Private,181242
40,Federal-gov,187164
32,Private,308365
53,Self-emp-not-inc,263439
23,Private,442359
54,Self-emp-not-inc,166368
21,Private,116968
26,Private,57593
29,Private,247507
38,Private,213512
19,Private,71691
28,?,147719
40,Private,244835
21,?,285830
37,Private,386461
41,Private,154714
47,Private,281401
35,Private,189251
39,State-gov,102729
29,Private,327766
29,Private,168479
54,Private,249352
24,Private,300008
32,Private,296466
47,Private,199277
36,Private,174242
63,Private,130968
25,Private,288440
36,Private,208358
40,Self-emp-not-inc,458168
23,Private,37894
38,Self-emp-not-inc,107410
24,?,96844
53,Private,402016
60,Private,258869
35,Private,114087
33,Private,116294
21,Private,241523
23,?,163053
18,Never-worked,162908
45,State-gov,310049
37,Private,293475
60,Local-gov,169015
21,Private,325762
37,Self-emp-not-inc,101561
41,State-gov,52131
30,Private,163867
29,Private,204663
18,?,233136
61,Self-emp-not-inc,48846
30,Private,264351
41,Private,190205
29,Private,254450
28,Self-emp-not-inc,29974
53,Federal-gov,40641
73,Self-emp-not-inc,256401
25,Private,203833
30,Private,277455
38,Private,176335
51,Private,394690
23,State-gov,71996
73,Self-emp-not-inc,110787
37,State-gov,157641
72,Private,164724
30,Self-emp-not-inc,173792
23,Private,163595
27,Private,132412
22,Private,193089
28,Private,190525
30,Private,175878
21,Private,161902
35,Private,211494
42,Private,89003
31,Private,344200
29,Private,62345
35,Private,85799
27,?,26754
26,Private,193347
45,Self-emp-not-inc,176814
27,Private,336162
39,Private,98975
71,Private,150943
22,Local-gov,131573
51,Private,138852
48,Private,35406
48,Private,167159
21,Private,80680
55,Self-emp-inc,87584
33,Private,56121
35,Private,284358
22,Private,224969
22,Private,209034
33,?,177733
19,Private,57366
23,Private,35633
29,Private,191177
75,Private,199826
54,Self-emp-not-inc,94323
60,?,380268
90,Private,272752
34,Private,228386
20,Private,187149
24,Local-gov,335439
24,Private,250630
45,Local-gov,272182
29,Private,108574
47,State-gov,185400
24,Private,406641
29,Private,103634
46,Private,261059
66,Private,199374
41,Private,405172
32,Private,147654
51,Private,129301
29,Private,173789
29,Private,212588
39,Self-emp-not-inc,457453
65,Private,187493
57,Self-emp-not-inc,20953
40,Private,131650
60,Private,290754
46,State-gov,114396
19,Private,202102
47,Private,318360
39,Private,160916
32,?,913447
30,Private,293931
20,Private,230824
20,?,358355
62,Private,584259
44,?,208726
38,Private,185556
58,Local-gov,100054
44,Private,172307
45,Private,30840
27,Private,147839
51,Private,54465
52,Federal-gov,418640
34,Private,222130
41,Private,187336
30,Local-gov,321024
44,Private,351262
28,Private,181597
41,Private,694105
60,Private,241013
44,Self-emp-inc,223881
40,Federal-gov,158796
41,Private,248476
49,Private,191277
26,Private,273876
33,Private,402848
62,Private,82906
45,Private,153682
52,Private,122412
26,Private,216819
47,Private,189680
41,Private,147099
38,Private,288158
32,Private,146161
65,?,104454
50,Private,91475
32,Self-emp-not-inc,151868
19,Private,118306
33,Private,51543
34,Private,69727
60,Private,186000
25,Private,48280
47,Private,186935
24,Federal-gov,104164
38,Private,339677
37,Private,123586
19,Private,150073
24,Private,59792
52,Private,24185
87,?,97295
27,Without-pay,35034
46,Private,118714
33,Private,230883
45,Private,149224
35,Private,122493
58,Private,441227
45,Local-gov,272792
41,Private,303521
40,Private,226027
36,Private,94565
65,Self-emp-not-inc,336848
20,Private,162688
30,State-gov,45737
60,?,147393
52,Private,335997
26,Private,96645
35,State-gov,43712
45,Private,101825
45,Private,102318
40,State-gov,132125
31,Self-emp-inc,229741
60,State-gov,265201
47,?,332884
39,Private,179481
33,Private,304833
31,Private,341632
21,Private,140001
30,Private,159123
33,Private,229636
35,Private,34996
53,Self-emp-not-inc,67198
65,Self-emp-inc,323636
45,Private,182689
25,Private,51392
43,Private,177905
36,Private,143152
37,State-gov,211286
33,Private,217962
48,Private,309212
19,?,97261
46,Self-emp-not-inc,188273
21,Private,93977
62,Self-emp-inc,163234
50,Local-gov,166423
33,Private,239071
40,Private,190292
38,Private,170783
28,Private,239539
48,Private,164200
52,Private,177647
44,Self-emp-not-inc,86750
25,Private,176981
59,Federal-gov,134153
35,Private,245372
26,Private,168236
27,Private,448841
44,Self-emp-inc,144778
30,Private,155914
34,Federal-gov,117362
50,Local-gov,82783
30,Private,207301
41,Private,606347
61,Local-gov,149981
29,Private,234972
33,Private,437566
33,Private,243266
31,Private,203408
43,Self-emp-not-inc,297510
18,Private,211683
41,Private,167375
36,Private,297449
42,Self-emp-not-inc,342634
49,Private,38819
18,Private,164571
36,Local-gov,122353
26,Self-emp-not-inc,192652
25,Private,401241
32,Private,116539
37,Private,162834
31,Local-gov,226525
18,Private,219404
38,Private,33394
56,Federal-gov,75804
58,Self-emp-not-inc,359972
37,Private,201247
41,Private,220109
59,Private,118479
45,Private,189123
60,Private,495366
31,Private,53776
28,Private,375980
61,Private,185152
52,Local-gov,230095
22,Private,349198
41,Private,59916
32,Private,214150
29,Private,255187
28,?,129624
30,Private,274577
51,Private,257756
29,?,1024535
75,Private,186808
46,Private,147519
53,Private,173630
42,Private,136986
41,Private,163287
25,Private,150804
27,Private,189565
47,Private,165484
53,Private,177727
53,Self-emp-inc,190762
38,Private,246463
42,Private,27661
30,Private,288419
57,Local-gov,258641
71,Self-emp-not-inc,200540
21,Private,305423
35,Private,148906
64,Private,262645
21,Private,243368
41,Private,106698
22,Private,186365
39,Self-emp-inc,304001
38,Self-emp-inc,125645
42,Private,111468
32,Private,136331
40,Private,213849
22,Private,138994
29,Private,177562
18,Private,36251
32,Private,100904
31,Private,427474
37,Private,280549
34,Private,75454
31,Private,203488
30,Private,49795
17,Private,152710
28,Local-gov,199172
31,Private,382583
32,Self-emp-not-inc,127295
46,Local-gov,274200
35,Private,130540
22,Private,117789
20,Self-emp-inc,83141
20,?,229826
36,Self-emp-inc,176837
34,Private,234096
51,Private,353317
23,Private,302312
17,Private,181015
36,State-gov,230329
48,Private,164984
33,Private,229051
41,Private,204415
55,Self-emp-not-inc,319883
25,Private,185836
52,Private,228516
47,Self-emp-not-inc,242519
36,Private,164866
35,Private,33001
21,Private,811615
43,Local-gov,300099
46,State-gov,146305
36,Private,167482
23,Private,106615
32,Private,204663
40,Private,171234
42,Private,167174
18,?,112137
18,Private,116167
41,Private,106159
52,State-gov,295826
26,Private,233461
57,Private,289605
18,?,348533
31,Private,197886
27,Private,120126
35,Private,61343
42,Self-emp-not-inc,116197
42,Federal-gov,236503
69,Federal-gov,47341
25,Private,248990
18,Private,190776
47,Local-gov,179048
28,Private,213842
24,Private,188274
22,Private,86849
41,Self-emp-inc,67671
21,Private,243890
51,Private,279337
35,Private,333636
58,State-gov,312351
43,Local-gov,175935
20,Private,245297
49,State-gov,70209
47,Local-gov,251588
33,Private,176992
51,State-gov,87205
43,Private,65545
22,Private,289579
34,Private,360689
43,Private,57600
42,Local-gov,247082
36,Local-gov,188798
19,Private,232261
19,?,35507
26,Private,301298
38,Private,27016
60,Private,166789
23,Private,94071
22,Private,117767
41,Private,219155
20,Private,34616
35,Private,112341
28,Private,220656
53,Private,239990
36,Private,139180
52,Private,215656
43,State-gov,157999
23,Private,41763
39,Private,299725
32,Private,198813
32,Private,431551
22,Private,195767
26,Private,140649
36,Private,295706
32,Private,324284
30,Private,352426
39,Private,126569
81,Private,106390
29,Private,134813
65,Private,95644
50,Private,254148
44,Private,367819
30,Private,162370
55,Self-emp-not-inc,204387
60,Federal-gov,248288
44,Private,175070
51,Local-gov,169182
38,Self-emp-not-inc,223242
29,State-gov,461929
25,Self-emp-not-inc,114483
45,Private,260543
27,Private,237466
57,Private,335605
31,Private,169122
49,Private,176907
26,Private,264300
34,Private,159187
55,Private,303090
33,Private,393702
19,?,177923
21,Private,191265
22,Private,215074
19,Private,30597
35,Self-emp-not-inc,28996
35,Private,188069
55,Private,53481
37,Private,410034
64,Private,64544
46,Private,204379
23,Private,255252
26,Private,178037
26,Private,184303
20,Private,175800
88,Self-emp-not-inc,263569
42,Private,234508
50,Self-emp-not-inc,195372
48,Private,265295
40,Private,184846
47,Private,185400
32,Private,360689
39,Private,200598
38,Private,227615
25,Private,308144
44,Private,259674
41,Private,182217
28,Private,230997
31,Private,393702
57,Self-emp-not-inc,130957
20,Private,210444
36,?,172775
53,Self-emp-inc,167914
71,Private,533660
39,Private,205997
34,Private,253616
49,Private,148549
54,Local-gov,113649
37,Private,233322
43,Self-emp-not-inc,325775
30,Private,94235
47,Local-gov,336274
43,Private,147510
48,Private,191389
35,Private,174503
24,Private,160968
23,Private,122797
38,Private,52263
21,Private,249282
27,Self-emp-not-inc,227332
37,Local-gov,289238
61,Private,153790
43,Local-gov,101563
52,Private,176240
56,Private,131608
27,Private,198286
39,Self-emp-not-inc,222204
47,Self-emp-not-inc,148169
23,Private,347867
40,Private,170413
33,Private,133861
50,Federal-gov,289572
44,Local-gov,445382
42,Self-emp-not-inc,151809
49,Private,368355
43,Private,73333
41,Private,117585
21,Private,107960
29,Private,196117
38,Self-emp-not-inc,126569
25,Private,216741
75,Private,254167
52,Private,102444
33,Private,38848
25,Private,55360
17,Private,140117
36,Self-emp-not-inc,66883
52,Self-emp-not-inc,154728
22,?,184756
48,Private,193047
54,Private,231342
27,Private,310483
38,Federal-gov,174778
44,Federal-gov,130749
38,Private,22463
29,Private,159473
63,Private,81605
51,State-gov,68684
22,?,229799
17,Private,124661
39,Private,117381
30,Private,53206
52,Private,172962
24,?,243923
72,Private,132753
43,Private,67339
71,Private,101577
39,Private,101192
51,State-gov,42901
43,Private,88787
39,Private,306504
30,?,183746
19,Self-emp-not-inc,242965
52,Private,427475
60,Self-emp-inc,180512
30,Private,97723
60,Private,208915
40,Local-gov,189189
49,Self-emp-inc,327258
31,Private,254494
23,Private,105577
34,Private,215124
27,Private,192936
35,Private,274158
19,Private,318822
32,Private,171889
17,Private,94492
17,Private,73820
38,Private,32989
29,Private,197382
35,Private,164526
43,Self-emp-inc,153205
40,Private,269168
43,Local-gov,126847
50,State-gov,211112
29,Private,100049
48,State-gov,104542
59,Private,186479
22,Private,225272
51,Private,346871
29,Private,142712
41,Private,46221
47,Private,349151
31,Private,111883
32,Private,46691
28,Private,291789
45,Private,201699
24,Federal-gov,219262
60,Self-emp-inc,160079
58,Private,193374
37,?,111268
19,Private,410632
35,Local-gov,33943
44,Federal-gov,269792
46,Private,153328
47,Private,162859
19,?,258664
80,Private,22406
39,Private,65624
43,Private,326232
28,Private,363257
35,Private,51700
30,Private,19678
21,Private,109199
26,State-gov,36741
41,Private,347653
23,Private,37514
48,Private,355781
46,Private,86709
44,Self-emp-not-inc,22933
56,Self-emp-inc,83922
27,Federal-gov,182637
57,Private,80149
60,Self-emp-not-inc,231770
60,?,116746
30,Self-emp-not-inc,189759
40,Self-emp-inc,46221
58,State-gov,198145
31,Private,35864
44,Federal-gov,259307
46,Private,129007
33,Private,169104
37,Private,198097
21,Local-gov,224640
17,?,35603
47,Self-emp-not-inc,85982
39,Private,230467
32,Self-emp-not-inc,168782
24,Private,142566
30,Federal-gov,195337
24,?,99829
40,Private,133456
28,Local-gov,133136
25,Private,211531
30,Private,243867
47,Local-gov,284871
37,Federal-gov,188563
61,Private,173866
23,Private,114939
30,Private,259425
48,Private,59159
30,Private,189439
56,Private,157786
41,Self-emp-inc,289636
49,Self-emp-inc,154174
56,Private,70857
48,Private,183000
37,Private,123104
21,State-gov,254620
33,Local-gov,156464
60,Private,124987
41,Private,413720
33,Private,169886
31,Private,228873
34,Private,110622
31,?,170513
21,?,221418
65,Private,151287
25,Private,235218
30,Private,111567
24,Private,251603
61,Private,136109
29,Private,178610
22,Private,192289
30,Private,49325
52,Private,229375
28,Private,125791
48,Private,75619
60,Private,247483
38,Private,289448
22,?,122048
21,Private,177940
32,Self-emp-not-inc,399088
38,Private,108293
60,Private,178249
24,Local-gov,52262
41,Self-emp-not-inc,143046
59,Private,124318
52,Federal-gov,57855
50,Private,355954
28,Private,143582
30,Private,220915
43,Private,172025
24,Private,109813
45,Private,175600
26,Private,389856
41,Self-emp-not-inc,167081
43,Self-emp-inc,179228
23,?,214542
31,Private,1210504
55,Private,426263
18,Private,146225
36,Self-emp-not-inc,240810
47,Private,100113
22,Private,214542
18,Private,41506
24,Private,200121
55,Private,199919
22,Private,60668
42,Private,208347
42,State-gov,184105
27,Private,255979
51,Self-emp-inc,251585
40,Private,132222
49,Private,164733
33,Private,327902
30,Private,262092
23,Private,299047
28,Self-emp-not-inc,146735
43,Private,154568
37,Private,160916
33,Private,161444
32,State-gov,246282
20,?,147031
42,Private,220531
22,Private,282202
26,Private,122485
32,Private,227012
67,Private,116502
51,Private,163606
18,Private,211413
33,?,171637
57,Self-emp-not-inc,204387
24,?,214542
29,Private,70100
42,Private,96115
47,Private,181758
74,?,278557
34,Federal-gov,168931
27,Private,397962
28,Private,113922
17,Private,318025
24,Private,287357
40,Self-emp-not-inc,33219
81,Self-emp-inc,51646
47,Federal-gov,51664
29,Private,195721
24,Private,255575
31,Private,200835
22,?,140414
38,Private,165579
37,Private,38948
35,Private,184685
23,Private,86939
22,Private,215251
53,Private,151159
40,Private,385266
68,Self-emp-inc,289349
19,Private,232060
28,Private,290429
45,Private,179048
57,Self-emp-not-inc,98466
51,Local-gov,142801
68,Self-emp-inc,119938
39,Private,172186
45,Local-gov,198759
45,State-gov,74305
80,Self-emp-inc,120796
55,Local-gov,190091
23,Private,197286
45,State-gov,129499
39,Private,30875
45,Self-emp-not-inc,172822
34,Private,107417
42,Local-gov,226902
21,Private,86557
35,Private,98900
24,Local-gov,38707
39,Private,286730
17,Private,221797
52,?,175029
49,?,32184
31,Federal-gov,144949
48,Federal-gov,33084
30,Private,156464
38,Private,152307
32,Private,341954
24,Private,235720
47,Private,161187
56,Private,90017
59,Private,192671
39,Self-emp-not-inc,102178
22,Private,293136
17,Local-gov,99568
66,Self-emp-not-inc,81413
39,Private,31053
18,Private,31008
55,Private,221801
26,Federal-gov,76491
64,Private,286732
48,Self-emp-not-inc,196707
51,Federal-gov,23698
61,Private,224699
22,Private,131291
19,?,372665
44,Private,64506
47,Private,139388
29,Private,425830
39,Private,99146
37,State-gov,59200
21,Private,37482
34,Private,188798
56,Private,100285
31,State-gov,228446
31,Private,19491
28,Private,156967
47,Federal-gov,187581
56,Private,154490
30,Private,101345
42,Local-gov,150533
33,Private,93213
57,Private,257046
40,Private,421837
41,Private,101593
42,Private,122215
49,Private,272780
24,Private,190591
30,Private,78374
30,?,121468
31,Private,280927
25,Private,202480
47,Private,110088
58,?,129632
37,Self-emp-not-inc,225860
25,Private,310545
31,Private,178664
46,Self-emp-not-inc,198759
20,Private,259301
31,Private,234537
63,Private,427770
19,?,331702
20,?,180052
54,Private,205337
17,Private,236091
40,Private,33895
20,?,447210
27,Private,226441
41,State-gov,119721
32,Self-emp-not-inc,455995
35,Private,105813
24,?,350917
42,State-gov,191814
65,Private,399296
47,Private,201595
41,Private,143003
28,Private,74784
20,?,313045
22,Private,303781
23,Private,236769
28,Self-emp-not-inc,264961
59,Private,144962
59,Local-gov,435836
46,Private,186539
23,Private,181796
47,Local-gov,398397
24,Private,196280
37,Federal-gov,31670
49,Self-emp-inc,65535
48,Local-gov,97680
57,Self-emp-not-inc,47178
24,Self-emp-not-inc,151818
40,Private,304530
25,Private,197651
64,Private,108054
44,Private,179666
45,Private,142909
24,Private,231261
42,State-gov,119008
27,Private,168138
54,Private,217850
50,Self-emp-not-inc,343242
19,?,167087
27,Private,200179
35,Private,172252
39,Private,132879
21,Private,240063
19,Private,425816
39,Local-gov,167571
39,Private,85566
27,Private,123799
28,Private,194690
39,Private,266347
62,Private,68268
59,Self-emp-inc,145574
29,Private,128666
31,Private,119411
38,Private,276552
22,?,305423
38,Federal-gov,104236
48,?,136455
71,Self-emp-not-inc,139889
39,Local-gov,102953
36,?,320183
47,Private,83407
22,?,118910
41,Private,99254
43,State-gov,198766
20,Private,191832
23,Private,146178
35,Private,132879
44,Private,94706
48,Local-gov,273767
43,Self-emp-not-inc,204235
62,?,181782
39,State-gov,144860
44,Private,185832
81,Private,55314
44,Private,200194
37,Private,339772
54,Private,159755
24,Private,200207
27,Private,31493
31,Private,168981
20,Private,201729
30,Self-emp-not-inc,105749
56,Federal-gov,101847
46,Private,110646
34,Private,139753
25,Private,255004
34,Private,341954
43,Private,124330
46,Private,64563
32,Self-emp-not-inc,29254
25,?,182810
33,?,139051
31,Private,151053
66,Self-emp-inc,45702
26,?,138685
37,Private,164193
73,Private,109651
30,Private,126364
31,Private,328199
44,Self-emp-not-inc,180096
23,Private,197613
35,Private,170195
48,Federal-gov,56482
53,Private,23686
62,State-gov,200916
44,Private,160261
21,Private,129232
22,Local-gov,249727
35,State-gov,106448
61,Local-gov,313852
33,Private,213722
29,Private,120645
78,?,167336
21,Self-emp-not-inc,199419
23,Private,132053
21,Private,311570
30,Private,187203
76,Private,201240
51,Private,150999
30,Self-emp-not-inc,24961
36,Local-gov,152021
20,Private,374116
73,Private,35370
38,Private,65291
71,?,283889
36,Self-emp-not-inc,48585
26,Private,132661
52,Private,267583
50,Private,313297
66,Private,290578
32,Private,246038
42,Federal-gov,125461
56,Self-emp-not-inc,206149
59,Local-gov,205718
37,Private,241153
49,Private,186706
60,Private,216574
46,Private,49570
42,State-gov,82161
44,Private,191268
31,Private,59469
30,Private,197947
35,Private,180131
17,Private,156732
22,Private,415755
22,Private,228254
28,Self-emp-not-inc,414599
35,Private,357173
49,?,111282
38,Private,174308
49,Federal-gov,61885
42,Private,123838
53,Private,119170
59,Private,219426
18,Self-emp-inc,184920
39,Local-gov,187385
26,Private,234258
24,Private,387663
45,Private,151817
34,Private,187203
27,Local-gov,67187
48,Private,194526
20,Private,73266
49,Self-emp-not-inc,340755
26,Private,168552
38,Self-emp-inc,188069
27,Private,198587
21,State-gov,33423
40,Federal-gov,190910
47,Private,195963
24,Private,345066
43,Private,195258
44,Private,262233
56,Private,78707
53,Self-emp-inc,251240
36,Self-emp-not-inc,414056
56,Local-gov,174564
26,Private,236242
31,Private,31286
19,Private,234476
26,Private,414916
40,Private,223881
21,Private,284651
35,Private,38948
33,Private,157887
59,Private,70796
49,Local-gov,97176
54,Private,146834
23,Private,490645
61,State-gov,31577
33,Private,145437
36,State-gov,21798
57,Private,142076
22,Private,136230
47,Private,184169
23,Private,175778
46,Local-gov,59174
49,Private,123713
67,?,222362
51,Private,108435
21,Private,39182
33,Local-gov,203051
45,Federal-gov,363418
27,Local-gov,113054
27,Local-gov,163320
34,Private,118710
56,Private,170066
24,Private,135267
24,Private,361278
59,Self-emp-not-inc,165867
33,Private,300497
49,State-gov,255928
41,Private,27305
34,Private,29933
43,Private,265434
18,Private,145643
31,?,162041
30,Private,119562
29,Private,115549
50,Private,39590
24,Private,97676
53,Private,34973
52,Private,312446
42,Federal-gov,88909
36,Private,117381
34,Self-emp-inc,513977
38,Federal-gov,39089
32,Private,341672
31,Local-gov,400535
34,Self-emp-not-inc,338042
49,Private,216734
54,Self-emp-not-inc,224207
58,Private,107897
28,Private,205903
36,Private,191754
